,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Sorry,Love Less Hurt Less,170815,Tyla Ally,True,2023-10-13,https://i.scdn.co/image/ab67616d0000b2738cf487ba08af6851fd1f1bc0,False
1,Stuck (feat. Ty Dolla $ign),Heart Full of Rage 2,154523,Ty Dolla $ign Tyla Yaweh,True,2023-08-04,https://i.scdn.co/image/ab67616d0000b273d3a523c771cecab6c0633e50,False
2,Drugs & Pain,Drugs & Pain,138057,Tyla Yaweh,True,2017-11-21,https://i.scdn.co/image/ab67616d0000b2733bd6a3c21c6612ff5c8346f5,False
3,Gemini,Heart Full of Rage,186890,Tyla Yaweh,True,2019-02-22,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,False
4,SUMMER VIBES,Heart Full of Rage 2,146587,Tyla Yaweh,False,2023-08-04,https://i.scdn.co/image/ab67616d0000b273d3a523c771cecab6c0633e50,False
5,They Ain't You,Heart Full of Rage,167996,Tyla Yaweh,True,2019-02-22,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,False
6,High Right Now - Loud Colors Remix,High Right Now (Loud Colors Remix),143731,Loud Colors Tyla Yaweh,True,2021-05-07,https://i.scdn.co/image/ab67616d0000b273261c7c49a846b5a066f946f6,False
7,High Right Now,Heart Full of Rage,163167,Tyla Yaweh,True,2019-02-22,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,False
8,Water,Water,191733,Marshmello Tyla,False,2023-11-15,https://i.scdn.co/image/ab67616d0000b2732b35ec31acfe3aa18986f2df,False
10,Water,Water,200255,Tyla,False,2023-07-28,https://i.scdn.co/image/ab67616d0000b273d20231861e86a6f74ef2393e,True
