,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,hurt my feelings,THINK LATER,122416,Tate McRae,True,2023-12-08,https://i.scdn.co/image/ab67616d0000b27377eb7a5b9367de79c3b92a49,False
1,grave,THINK LATER,193159,Tate McRae,True,2023-12-08,https://i.scdn.co/image/ab67616d0000b27377eb7a5b9367de79c3b92a49,False
2,that way,all the things i never said,175026,Tate McRae,False,2020-01-24,https://i.scdn.co/image/ab67616d0000b273cdfe41cd475f8ad3a29b3537,False
3,you broke me first,TOO YOUNG TO BE SAD,170226,Tate McRae,True,2021-03-26,https://i.scdn.co/image/ab67616d0000b2736c2b76e0d78170d577add561,False
4,she's all i wanna be,i used to think i could fly,207120,Tate McRae,False,2022-05-27,https://i.scdn.co/image/ab67616d0000b273f7108342ef45a402af8206b2,False
5,greedy,greedy,131872,Tate McRae,True,2023-09-10,https://i.scdn.co/image/ab67616d0000b27358b0a8eefb8b1ec57b0d9394,False
6,greedy sped up,greedy,119871,Tate McRae,True,2023-09-10,https://i.scdn.co/image/ab67616d0000b27358b0a8eefb8b1ec57b0d9394,False
7,greedy - cassö remix,greedy (remixes),156818,Tate McRae cassö,True,2023-10-27,https://i.scdn.co/image/ab67616d0000b27321d586ad830dd93b2703b139,False
9,greedy,THINK LATER,129686,Tate McRae,False,2023-12-07,https://i.scdn.co/image/ab67616d0000b2737ecf8ea5d7f266112e6d7b20,False
10,greedy,THINK LATER,129686,Tate McRae,True,2023-12-08,https://i.scdn.co/image/ab67616d0000b27377eb7a5b9367de79c3b92a49,True
