,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Bad Habit,Bad Habit,250208,CA in LA,False,2024-01-19,https://i.scdn.co/image/ab67616d0000b273601ca05a798b6e630681dcb2,False
1,Bad Habits,An-nyeong,212959,SHAUN,False,2019-01-01,https://i.scdn.co/image/ab67616d0000b273868a31de8e31a9c7984b1aab,False
2,Bad Habits,Coffee Lounge 2023 Vol. 1 Background Music - Café Shop - Coffee House,187902,midkeys nitsué.,False,2023-07-07,https://i.scdn.co/image/ab67616d0000b2731f98dad1552eaf1ce57e26b4,False
3,Bad Habits (8D Audio),Bad Habits (8D Audio),182867,8D Tunes,False,2023-10-11,https://i.scdn.co/image/ab67616d0000b2732a1d07db49b3564456085428,False
4,Bad Habit,TikTok Pop Hits 2022 | 2023,232426,Steve Lacy,True,2022-12-16,https://i.scdn.co/image/ab67616d0000b2737e8aeb013438097577833a94,False
5,Bad Habit,Bad Habit (Sped Up),232114,Steve Lacy,True,2022-07-14,https://i.scdn.co/image/ab67616d0000b27397a5e0f288ff9a892840aa49,False
6,Bad Habit,TikTok Viral Hits 2022 | 2023,232426,Steve Lacy,True,2022-12-16,https://i.scdn.co/image/ab67616d0000b273cc333c4afe119f55fb5a6287,False
8,Bad Habit - Sped Up,Bad Habit (Sped Up),191335,Steve Lacy,True,2022-07-14,https://i.scdn.co/image/ab67616d0000b27397a5e0f288ff9a892840aa49,False
9,Bad Habit,Gemini Rights,232120,Steve Lacy,False,2022-07-14,https://i.scdn.co/image/ab67616d0000b2735cc2b8beee1bae039987f2d2,False
10,Bad Habit,Gemini Rights,232066,Steve Lacy,True,2022-07-15,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee,True
