,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,SORRY,THE FIRST TIME,192647,The Kid LAROI,True,2023-11-10,https://i.scdn.co/image/ab67616d0000b2732abb30c6296964d5d07458c2,False
1,BLEED,THE FIRST TIME,169990,The Kid LAROI,False,2023-11-10,https://i.scdn.co/image/ab67616d0000b2732abb30c6296964d5d07458c2,False
2,SO DONE,F*CK LOVE 3+: OVER YOU,126521,The Kid LAROI,False,2021-07-27,https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a,False
3,TOO MUCH,THE FIRST TIME,203894,Central Cee Jung Kook The Kid LAROI,True,2023-11-10,https://i.scdn.co/image/ab67616d0000b2732abb30c6296964d5d07458c2,False
4,WHAT JUST HAPPENED,THE FIRST TIME,162725,The Kid LAROI,True,2023-11-10,https://i.scdn.co/image/ab67616d0000b2732abb30c6296964d5d07458c2,False
5,HEAVEN,HEAVEN,174595,The Kid LAROI,True,2024-01-26,https://i.scdn.co/image/ab67616d0000b273dc51bdf90c15dbcf139e20f8,False
6,WITHOUT YOU (with Miley Cyrus),WITHOUT YOU (with Miley Cyrus),161384,Miley Cyrus The Kid LAROI,True,2021-04-30,https://i.scdn.co/image/ab67616d0000b273c01093b31199328192c8e421,False
8,WITHOUT YOU,F*CK LOVE 3+: OVER YOU,161384,The Kid LAROI,True,2021-07-27,https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a,False
9,STAY (with Justin Bieber),STAY (with Justin Bieber),141805,Justin Bieber The Kid LAROI,False,2021-07-09,https://i.scdn.co/image/ab67616d0000b273809ac854713e65ce1f4d4bdd,False
10,STAY (with Justin Bieber),F*CK LOVE 3+: OVER YOU,141805,Justin Bieber The Kid LAROI,True,2021-07-27,https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a,True
