,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,305,Wonder,189072,Shawn Mendes,False,2020-12-04,https://i.scdn.co/image/ab67616d0000b27337a5a19e52f8260b3b158e55,False
1,Air,Handwritten,194146,Astrid S Shawn Mendes,False,2015-04-14,https://i.scdn.co/image/ab67616d0000b273d26246b23c8bfa8ce543b3bb,False
2,"Heartbeat (From the “Lyle, Lyle, Crocodile” Original Motion Picture Soundtrack) - “ From the “Lyle, Lyle, Crocodile” Original Motion Picture Soundtrack ”","Heartbeat (From the “Lyle, Lyle, Crocodile” Original Motion Picture Soundtrack)",140443,Shawn Mendes,False,2022-09-30,https://i.scdn.co/image/ab67616d0000b273241d214aea10578a6f22ca81,False
3,Treat You Better,Best Hits of 2023,187973,Shawn Mendes,False,2023-12-16,https://i.scdn.co/image/ab67616d0000b2737007654ab8b90fc154009127,False
4,Treat You Better,Treat You Better,151500,Wild Angel,False,2023-04-21,https://i.scdn.co/image/ab67616d0000b273cdd824bd6cb81c6fc19e01d8,False
5,Use Somebody/Treat You Better - MTV Unplugged,MTV Unplugged,316440,Shawn Mendes,False,2017-11-03,https://i.scdn.co/image/ab67616d0000b273f1f27e693a1b06b75c1b911d,False
6,Treat You Better - Live,Live At Madison Square Garden,256740,Shawn Mendes,False,2016-12-23,https://i.scdn.co/image/ab67616d0000b273fd173935864c7879e51ad763,False
7,Treat You Better,Heartbreak Songs,187973,Shawn Mendes,False,2021-05-14,https://i.scdn.co/image/ab67616d0000b27366405408d3a8cbd94cfa0f5e,False
8,Treat You Better - Ashworth Remix,Treat You Better (Ashworth Remix),232666,Ashworth Shawn Mendes,False,2016-08-16,https://i.scdn.co/image/ab67616d0000b273751939c6c68b8b64091120d8,False
10,Treat You Better,Illuminate (Deluxe),187973,Shawn Mendes,False,2017-04-20,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521,True
