,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Houdini,Torches,202466,Foster The People,False,2011-05-23,https://i.scdn.co/image/ab67616d0000b273121d5f92cf90576907dfb1e5,False
1,Be the One,Be the One,202914,Dua Lipa,False,2015-10-30,https://i.scdn.co/image/ab67616d0000b273e314ae1248044b8b84842c3c,False
2,Hallucinate,Future Nostalgia (The Moonlight Edition),208505,Dua Lipa,False,2021-02-11,https://i.scdn.co/image/ab67616d0000b273ccdddb2e5349ea0608c3e016,False
3,Houdini,Houdini (London Sessions),185917,Dua Lipa,False,2024-01-12,https://i.scdn.co/image/ab67616d0000b273299eefcd0fd3cf79ce38597a,False
4,Houdini,Houdini (Adam Port Mix),185917,Dua Lipa,False,2023-12-22,https://i.scdn.co/image/ab67616d0000b2736eed08915a0b929c83aa43f7,False
5,Houdini - Adam Port Mix,Houdini (London Sessions),202000,Adam Port Dua Lipa,False,2024-01-12,https://i.scdn.co/image/ab67616d0000b273299eefcd0fd3cf79ce38597a,False
6,Houdini,Houdini (Extended Edit),185917,Dua Lipa,False,2023-12-01,https://i.scdn.co/image/ab67616d0000b273f226f28a4e8b12a95d1b5e0c,False
7,Houdini (London Sessions),Houdini (London Sessions),182738,Dua Lipa,False,2024-01-12,https://i.scdn.co/image/ab67616d0000b273299eefcd0fd3cf79ce38597a,False
8,Houdini - Extended Edit,Houdini (Extended Edit),353808,Dua Lipa,False,2023-12-01,https://i.scdn.co/image/ab67616d0000b273f226f28a4e8b12a95d1b5e0c,False
10,Houdini,Houdini,185917,Dua Lipa,False,2023-11-09,https://i.scdn.co/image/ab67616d0000b273001d5706fddc72561f6488af,True
