,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,The Weekend - Funk Wav Remix,The Weekend (Funk Wav Remix),171805,Calvin Harris Funk Wav SZA,False,2017-12-15,https://i.scdn.co/image/ab67616d0000b273b19d1cc6a00ae1d4ddcbfd37,False
1,Under Control (feat. Hurts),Motion,184280,Alesso Calvin Harris Hurts,False,2014-10-31,https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756,False
2,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,223413,Big Sean Calvin Harris Funk Wav Katy Perry Pharrell Williams,True,2017-06-30,https://i.scdn.co/image/ab67616d0000b2734d3fa5ce7ba599f4fd7803ef,False
3,This Is What You Came For,This Is What You Came For,222160,Calvin Harris Rihanna,False,2016-04-29,https://i.scdn.co/image/ab67616d0000b273d9aa52355e062f5de060adbf,False
4,Blame (feat. John Newman),Motion,212960,Calvin Harris John Newman,False,2014-10-31,https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756,False
5,Body Moving,Body Moving,154215,Calvin Harris Eliza Rose,False,2023-11-17,https://i.scdn.co/image/ab67616d0000b273535aaa51352955a479bc5371,False
6,Giant (with Rag'n'Bone Man),Giant (with Rag'n'Bone Man),229184,Calvin Harris Rag'n'Bone Man,False,2019-01-11,https://i.scdn.co/image/ab67616d0000b273a9a9d8a16c0b4146fb707c02,False
7,Desire (with Sam Smith),Desire (with Sam Smith),179161,Calvin Harris Sam Smith,False,2023-07-28,https://i.scdn.co/image/ab67616d0000b27362aaea327f6977dae3c94cdf,False
8,Miracle (with Ellie Goulding) - David Guetta Remix,Miracle (with Ellie Goulding) [David Guetta Remix],182307,Calvin Harris David Guetta Ellie Goulding,False,2023-05-12,https://i.scdn.co/image/ab67616d0000b273c11082f5050e9d2abd69bfa4,False
9,Miracle (with Ellie Goulding),Miracle (with Ellie Goulding),186496,Calvin Harris Ellie Goulding,False,2023-03-10,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0,False
10,Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,230813,Calvin Harris Frank Ocean Funk Wav Migos,True,2017-06-30,https://i.scdn.co/image/ab67616d0000b2734d3fa5ce7ba599f4fd7803ef,True
