,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Under The Moon,Modus Vivendi,207213,070 Shake,True,2020-01-17,https://i.scdn.co/image/ab67616d0000b27320921767dd81e8f90ef9fc71,False
1,Tayla (every night),Actual Life 2 (February 2 - October 15 2021),65500,Fred again..,False,2021-11-19,https://i.scdn.co/image/ab67616d0000b273a871bc3a84418ad1240a5d4e,False
2,Frozen (feat. 070 Shake),Frozen (feat. 070 Shake),139636,070 Shake Madonna Sickick,False,2022-03-31,https://i.scdn.co/image/ab67616d0000b27329df4cca40ab43dd830cf555,False
3,Guilty Conscience,Modus Vivendi,213333,070 Shake,False,2020-01-17,https://i.scdn.co/image/ab67616d0000b27320921767dd81e8f90ef9fc71,False
4,Cocoon,You Can’t Kill Me,201004,070 Shake,True,2022-06-03,https://i.scdn.co/image/ab67616d0000b273a6dd9a81268761d323411303,False
5,Honey,Honey - Single,398106,070 Shake Hack & Tree Ralphy River,True,2016-08-16,https://i.scdn.co/image/ab67616d0000b273666f1c19c36258762119f4b3,False
6,Billie (loving arms),Billie (loving arms),217265,Fred again..,False,2021-08-31,https://i.scdn.co/image/ab67616d0000b273fc7addbcc90fde69955660a2,False
7,Dermot (see yourself in my eyes),Actual Life (April 14 - December 17 2020),228858,Dermot Kennedy Fred again..,True,2021-04-15,https://i.scdn.co/image/ab67616d0000b2730f0e63e38a0ea92314ab9d7f,False
8,Cocoon - Martin Garrix & Space Ducks Remix,Cocoon (Martin Garrix & Space Ducks Remix),202204,070 Shake Martin Garrix Space Ducks,True,2023-02-10,https://i.scdn.co/image/ab67616d0000b273ef153d3eb5f2b13b88f13cd8,False
9,Danielle (smile on my face),Danielle (smile on my face),201230,Fred again..,True,2022-09-14,https://i.scdn.co/image/ab67616d0000b2733df0f9ce9536ac74c7aa4b98,False
10,Danielle (smile on my face),Actual Life 3 (January 1 - September 9 2022),201230,070 Shake Fred again..,True,2022-09-06,https://i.scdn.co/image/ab67616d0000b2737622b889949b07f15c6b57e2,True
