,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,bam bam,Mamboteo 57,161834,El Ponte G,False,2023-11-30,https://i.scdn.co/image/ab67616d0000b27357a61991e07f4fd7a5eb909b,False
1,Pick it,Pick it,157438,BamBam,False,2023-09-11,https://i.scdn.co/image/ab67616d0000b273b82ea20de0ac4ad0565831eb,False
2,Sour & Sweet,Sour & Sweet,147680,BamBam,False,2023-03-28,https://i.scdn.co/image/ab67616d0000b27340548c3091c472072380b2a0,False
3,BamBamBam,BamBamBam,139842,25 Philippe,True,2023-08-25,https://i.scdn.co/image/ab67616d0000b273373b903bc0213052eb55d5e0,False
4,Bam Bam,Bam Bam,197706,Sister Nancy,False,1982-01-01,https://i.scdn.co/image/ab67616d0000b273f91dfe260a531b07c1ae49a8,False
5,Bam Bam,Bam Bam,182562,B3nte Benjamin Beats John Vince,False,2018-11-23,https://i.scdn.co/image/ab67616d0000b2739942e633893594e826f898ca,False
6,Bam Bam,One Two,196506,Sister Nancy,False,1982-01-01,https://i.scdn.co/image/ab67616d0000b27333c6f21ab00263515f0b0d6d,False
8,Bam Bam (feat. Ed Sheeran),Familia,206070,Camila Cabello Ed Sheeran,False,2022-04-08,https://i.scdn.co/image/ab67616d0000b27317f56db9be0ac58807c82899,False
9,Bam Bam (feat. Ed Sheeran) - Karaoke Version,Bam Bam (feat. Ed Sheeran) [Karaoke Version],206656,Camila Cabello Ed Sheeran,False,2022-03-02,https://i.scdn.co/image/ab67616d0000b273d1d9bae4405af55ec726afd2,False
10,Bam Bam (feat. Ed Sheeran),Familia,206070,Camila Cabello Ed Sheeran,False,2022-04-07,https://i.scdn.co/image/ab67616d0000b273370ed6a9ced20874385fb147,True
