,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Feel So Close - Radio Edit,18 Months,206413,Calvin Harris,False,2012-10-29,https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b,False
1,Blame (feat. John Newman),Motion,212960,Calvin Harris John Newman,False,2014-10-31,https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756,False
2,Miracle (with Ellie Goulding),Miracle (with Ellie Goulding),186496,Calvin Harris Ellie Goulding,False,2023-03-10,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0,False
3,Body Moving,Body Moving,154215,Calvin Harris Eliza Rose,False,2023-11-17,https://i.scdn.co/image/ab67616d0000b273535aaa51352955a479bc5371,False
4,By Your Side (feat. Tom Grennan),By Your Side (feat. Tom Grennan),189671,Calvin Harris Tom Grennan,False,2021-06-04,https://i.scdn.co/image/ab67616d0000b27326ab76de7cfa7b953e58caee,False
5,Desire (with Sam Smith),Desire (with Sam Smith),179161,Calvin Harris Sam Smith,False,2023-07-28,https://i.scdn.co/image/ab67616d0000b27362aaea327f6977dae3c94cdf,False
6,This Is What You Came For - R3hab Remix,This Is What You Came For (Remixes),150920,Calvin Harris R3HAB Rihanna,False,2016-08-02,https://i.scdn.co/image/ab67616d0000b273a0a87c564f3d4d2c6dc2d2c5,False
7,This Is What You Came For - Extended Mix,This Is What You Came For (Remixes),286440,Calvin Harris Rihanna,False,2016-08-02,https://i.scdn.co/image/ab67616d0000b273a0a87c564f3d4d2c6dc2d2c5,False
8,This Is What You Came For - R3hab vs Henry Fong Remix,This Is What You Came For (Remixes),258746,Calvin Harris Henry Fong R3HAB Rihanna,False,2016-08-02,https://i.scdn.co/image/ab67616d0000b273a0a87c564f3d4d2c6dc2d2c5,False
10,This Is What You Came For,This Is What You Came For,222160,Calvin Harris Rihanna,False,2016-04-29,https://i.scdn.co/image/ab67616d0000b273d9aa52355e062f5de060adbf,True
