,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Tondo,ENERGY (Deluxe),329280,Disclosure Eko Roosevelt,False,2020-08-28,https://i.scdn.co/image/ab67616d0000b273355bf68fa788b6d401195b43,False
1,Magnets,Caracal (Deluxe),199245,Disclosure Lorde,False,2015-09-25,https://i.scdn.co/image/ab67616d0000b273e2f9df5c00476154a4fbdfff,False
2,Ultimatum - Edit,Ultimatum,213381,Disclosure Fatoumata Diawara,False,2018-05-17,https://i.scdn.co/image/ab67616d0000b273f23789ae07046cb71d4fb7f1,False
3,Disclosure,Disclosure,108483,Rembryo,False,2023-11-03,https://i.scdn.co/image/ab67616d0000b27329bb0508cd36f965f9fa023b,False
4,Help Me Lose My Mind,Settle (Deluxe Version),244174,Disclosure London Grammar,False,2013-06-03,https://i.scdn.co/image/ab67616d0000b273d3462d1395189dc76a326031,False
5,Omen - Radio Edit,Omen (Radio Edit),196817,Disclosure Sam Smith,False,2015-07-27,https://i.scdn.co/image/ab67616d0000b273ba844dd63b5ca90beab86722,False
6,Latch,Settle (Deluxe Version),255631,Disclosure Sam Smith,False,2013-06-03,https://i.scdn.co/image/ab67616d0000b273d3462d1395189dc76a326031,False
7,Unholy (feat. Kim Petras) - Disclosure Remix,Unholy (feat. Kim Petras) [Disclosure Remix],234411,Disclosure Kim Petras Sam Smith,False,2022-10-14,https://i.scdn.co/image/ab67616d0000b273f0dfcca2b448a3b5f1717333,False
8,Omen,Caracal (Deluxe),230250,Disclosure Sam Smith,False,2015-09-25,https://i.scdn.co/image/ab67616d0000b273e2f9df5c00476154a4fbdfff,False
10,Latch,Settle (Special Edition),255631,Disclosure Sam Smith,False,2013-06-03,https://i.scdn.co/image/ab67616d0000b273786201dca187d2b0c956c24b,True
