,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Hypnotized,Exotica,195704,Purple Disco Machine Sophie and the Giants,False,2021-10-15,https://i.scdn.co/image/ab67616d0000b2736e2cd4b6c10cbcf5dbf2e8ad,False
1,Feel My Needs - Purple Disco Machine Remix,Feel My Needs (Purple Disco Machine Remix),230163,Purple Disco Machine WEISS,False,2018-08-17,https://i.scdn.co/image/ab67616d0000b2732282cf1bf4b5eb5a6ee67f6e,False
2,Dopamine (feat. Eyelar),Exotica,216091,Eyelar Purple Disco Machine,False,2021-10-15,https://i.scdn.co/image/ab67616d0000b2736e2cd4b6c10cbcf5dbf2e8ad,False
3,In The Dark,Exotica (Deluxe),185843,Purple Disco Machine Sophie and the Giants,False,2022-03-04,https://i.scdn.co/image/ab67616d0000b2738fae0b49fa2872779be1e77c,False
4,Coma Cat - Purple Disco Machine Re-Work,Coma Cat (Purple Disco Machine Re-Work),208544,Purple Disco Machine Tensnake,False,2022-09-30,https://i.scdn.co/image/ab67616d0000b27359331d2efb7db97edc28203a,False
5,Wake Up! (feat. Kaleta),Wake Up! (feat. Kaleta),232745,Bosq Kaleta Purple Disco Machine,False,2022-06-03,https://i.scdn.co/image/ab67616d0000b2736a9b294e95c2c32b7bc231c5,False
6,Something On My Mind,Something On My Mind,216774,Duke Dumont Nothing But Thieves Purple Disco Machine,False,2023-09-08,https://i.scdn.co/image/ab67616d0000b273e8ed8f7f1fb2486182ec93d9,False
7,Substitution (feat. Julian Perretta),Substitution (feat. Julian Perretta),181477,Julian Perretta Kungs Purple Disco Machine,False,2023-03-30,https://i.scdn.co/image/ab67616d0000b273a8bcf8fac8520ac2cbf72ea7,False
8,Mess It Up - Purple Disco Machine Remix,Mess It Up (Purple Disco Machine Remix),215370,Purple Disco Machine The Rolling Stones,False,2023-11-17,https://i.scdn.co/image/ab67616d0000b273a33f53e9bab1a5f61b7a51d4,False
10,Fireworks (feat. Moss Kena & The Knocks),Exotica,199476,Moss Kena Purple Disco Machine The Knocks,False,2021-10-15,https://i.scdn.co/image/ab67616d0000b2736e2cd4b6c10cbcf5dbf2e8ad,True
