,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Afraid Of My Heart,Afraid Of My Heart,160031,J3NK!NS,False,2019-07-05,https://i.scdn.co/image/ab67616d0000b273fbbfff4bbf7b310ee1c39870,False
1,Hungry (For Love),Hungry (For Love),129375,LF SYSTEM,False,2022-10-07,https://i.scdn.co/image/ab67616d0000b273067b744b2f4cf64c55a501ef,False
2,Afraid to Feel,House Music 2023,177524,LF SYSTEM,False,2023-04-07,https://i.scdn.co/image/ab67616d0000b273c96226150ed8441999297cb0,False
3,Afraid to Feel,LGBTQ+ Anthems 2023,177524,LF SYSTEM,False,2022-09-16,https://i.scdn.co/image/ab67616d0000b27300f8cf56702703670f5b6e3e,False
4,Afraid to Feel,LibreDeSer,177524,LF SYSTEM,False,2023-06-23,https://i.scdn.co/image/ab67616d0000b27388aadbdc88600363a661fcd1,False
5,Afraid To Feel - CID Remix,Afraid To Feel,205714,CID LF SYSTEM,False,2022-07-15,https://i.scdn.co/image/ab67616d0000b273993d315ceb00033f47d65ca9,False
6,Afraid to Feel,Festa in spiaggia,177524,LF SYSTEM,False,2023-06-09,https://i.scdn.co/image/ab67616d0000b273df6334d3e4207762de171fb3,False
7,Afraid to Feel,Sommar 2023,177524,LF SYSTEM,False,2023-04-14,https://i.scdn.co/image/ab67616d0000b27389e42b99ab385e226d4e032f,False
8,Afraid to Feel,Summer Sessions,177524,LF SYSTEM,False,2024-01-19,https://i.scdn.co/image/ab67616d0000b273c50599a2bd440bd2cf2468c4,False
10,Afraid To Feel,Afraid To Feel,177524,LF SYSTEM,False,2022-05-02,https://i.scdn.co/image/ab67616d0000b273ced808ef1567eaf901041438,True
