,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Act II: Can't Go Back,Acts & Results,184817,Dennis Lloyd,True,2016-06-17,https://i.scdn.co/image/ab67616d0000b27300e1ee6f85418ed08c7e0d03,False
1,Leftovers,Leftovers,192628,Dennis Lloyd,False,2017-01-15,https://i.scdn.co/image/ab67616d0000b2731c1118188c860f9bfeafe27c,False
2,Not Around Me,Not Around Me,154624,Dennis Lloyd,True,2023-08-23,https://i.scdn.co/image/ab67616d0000b2731f4f31d511ed7fb38ddcc92c,False
3,GFY,Exident,186666,Dennis Lloyd,True,2019-04-05,https://i.scdn.co/image/ab67616d0000b2736a6a3854ece1b9b1eb6e471a,False
4,Alien - Topic Remix,Alien (Topic Remix),159927,Dennis Lloyd Topic,False,2020-08-14,https://i.scdn.co/image/ab67616d0000b2739f53238ea61057450d7b72eb,False
5,The Way,Some Days,151893,Dennis Lloyd,False,2021-07-02,https://i.scdn.co/image/ab67616d0000b273af6607c2a1979bc9e0868a4a,False
6,Never Go Back,Never Go Back,175424,Dennis Lloyd,False,2019-02-15,https://i.scdn.co/image/ab67616d0000b2733e5170dca1d41c6ab6824506,False
7,Reasons,Reasons,190456,Dennis Lloyd,False,2024-01-12,https://i.scdn.co/image/ab67616d0000b2734ba44826bd8eba4d401347d9,False
8,Nevermind (Wankelmut Remix),Nevermind (Wankelmut Remixes),181142,Dennis Lloyd Wankelmut,False,2017-06-10,https://i.scdn.co/image/ab67616d0000b27392cf95be5f3bb07d8fbb2cc6,False
10,Nevermind,Nevermind,156600,Dennis Lloyd,False,2017-06-30,https://i.scdn.co/image/ab67616d0000b2734dbdd4d3c69bec0d471fc479,True
