,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Jam,Projectivr,124293,Zenobio Jowper,False,2023-04-21,https://i.scdn.co/image/ab67616d0000b27308a037ca693b6fc3e4a43492,False
1,Rómeo a Júlia,Rómeo a Júlia,180000,Zandome,False,2023-07-28,https://i.scdn.co/image/ab67616d0000b273b2a3f2d76c48ff02ccbd861c,False
2,The 24 Hours,Projectivr,155536,Zenobio Jowper,False,2023-04-21,https://i.scdn.co/image/ab67616d0000b27308a037ca693b6fc3e4a43492,False
3,Loudy,Projectivr,206500,Zenobio Jowper,False,2023-04-21,https://i.scdn.co/image/ab67616d0000b27308a037ca693b6fc3e4a43492,False
4,Enterthemoon,Attraction,55968,Zanko Zanotti,True,2024-01-26,https://i.scdn.co/image/ab67616d0000b273469ef2cd44c6aff0a6a91999,False
5,Zanobi,The Universe,159375,Catiso,False,2020-03-13,https://i.scdn.co/image/ab67616d0000b273f95e0f2321eb3f4eff36db58,False
6,Hope,Hope,213857,Zaynoon,False,2019-04-11,https://i.scdn.co/image/ab67616d0000b27359b6660638b82f13de616a98,False
7,Won't Get This Back,Won't Get This Back,193170,Zanoii,False,2022-08-05,https://i.scdn.co/image/ab67616d0000b27389a618bb3f21b72e742837d0,False
8,Not Like You,Not Like You,159344,Zanoii,False,2023-07-21,https://i.scdn.co/image/ab67616d0000b2730069cd9a8cc64f710cbee63f,False
9,The Weekend,The Weekend,150491,Zanoii,False,2024-01-05,https://i.scdn.co/image/ab67616d0000b2736b8b4ee55b9b0c6ed99b8eb8,False
10,High With You,High With You,139047,Zanoii,False,2023-01-06,https://i.scdn.co/image/ab67616d0000b27377402b664184eb51993310ea,True
