,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Broken Dreams,Empty space,121519,Moonmist,False,2023-09-14,https://i.scdn.co/image/ab67616d0000b273a6d9aebeb6f132ae0b859c84,False
1,WWE: Broken Dreams (Drew McIntyre) [feat. Shaman's Harvest],WWE: Broken Dreams (Drew McIntyre) [feat. Shaman's Harvest],267634,Jim Johnston Shaman's Harvest WWE,False,2010-11-30,https://i.scdn.co/image/ab67616d0000b27318621ed6a72a96a4be7fd8d3,False
2,"Broken Dreams, Inc.",Nowhere Generation,233280,Rise Against,False,2021-06-04,https://i.scdn.co/image/ab67616d0000b2730abb135bc1311c23cfde51ef,False
3,Boulevard of Broken Dreams,Boulevard of Broken Dreams,132080,Codfish,False,2019-10-17,https://i.scdn.co/image/ab67616d0000b273caa3fa694ed00c261e8334ab,False
4,Zanobi,The Universe,159375,Catiso,False,2020-03-13,https://i.scdn.co/image/ab67616d0000b273f95e0f2321eb3f4eff36db58,False
5,Boulevard of Broken Dreams - Hardstyle Remix,Boulevard of Broken Dreams (Hardstyle Remix),235125,David Todoran I.GOT.U Luca Testa RAVE-N,False,2023-03-17,https://i.scdn.co/image/ab67616d0000b27333b622270ded81816757a87c,False
6,Broken Dreams,Broken Dreams,279000,Ben Berkenbosch,False,2022-12-28,https://i.scdn.co/image/ab67616d0000b27323fb83a85885e4ee59671815,False
7,Boulevard Of Broken Dreams,Boulevard Of Broken Dreams,137560,NOTSOBAD,True,2021-01-07,https://i.scdn.co/image/ab67616d0000b273a774abd71683a3799826f2ce,False
8,High With You,High With You,139047,Zanoii,False,2023-01-06,https://i.scdn.co/image/ab67616d0000b27377402b664184eb51993310ea,False
10,Broken Dreams,Broken Dreams,134032,Zanoii,False,2022-10-07,https://i.scdn.co/image/ab67616d0000b273c22a0e0a289e3fc8a66ba482,True
