,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Zani,Zani,192935,Mozzik,False,2023-11-10,https://i.scdn.co/image/ab67616d0000b2736b7844485aaf247402624fda,False
1,Give iT,"Harmonizing Henry, Pt. 2",113149,ZayDOOBIE,True,2023-10-31,https://i.scdn.co/image/ab67616d0000b2738d812e3c6b9f63a362042f98,False
2,ZANI,ZANI,178000,BOTA Jack Fuego Jewan,False,2023-12-15,https://i.scdn.co/image/ab67616d0000b2733fba46eba034d4c91662bf81,False
3,Break the Bank,Attraction,135120,Zanko Zanotti,True,2024-01-26,https://i.scdn.co/image/ab67616d0000b273469ef2cd44c6aff0a6a91999,False
4,Zanotti,Egoland,266346,UNDERGRUNN,True,2023-04-13,https://i.scdn.co/image/ab67616d0000b273ec6cd8e750adb2b0f5006c56,False
5,Enterthemoon,Attraction,55968,Zanko Zanotti,True,2024-01-26,https://i.scdn.co/image/ab67616d0000b273469ef2cd44c6aff0a6a91999,False
6,Zanobi,The Universe,159375,Catiso,False,2020-03-13,https://i.scdn.co/image/ab67616d0000b273f95e0f2321eb3f4eff36db58,False
7,High With You,High With You,139047,Zanoii,False,2023-01-06,https://i.scdn.co/image/ab67616d0000b27377402b664184eb51993310ea,False
8,The Weekend,The Weekend,150491,Zanoii,False,2024-01-05,https://i.scdn.co/image/ab67616d0000b2736b8b4ee55b9b0c6ed99b8eb8,False
10,Like It Used To,Like It Used To,128571,Zanoii,False,2023-04-07,https://i.scdn.co/image/ab67616d0000b2737dfee1f79607aa2795231acf,True
