,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Rooz Be Rooz,Ghahreman,209319,Amir Tataloo,False,2016-11-11,https://i.scdn.co/image/ab67616d0000b273f221282a0a17938c45fec5d6,False
1,Kosse Nanash,Kosse Nanash,319439,Amir Tataloo,True,2023-11-01,https://i.scdn.co/image/ab67616d0000b2734eea036d7bc2bd98f751ce16,False
2,African Monster - Original Mix,F4R The Polopians,456830,LebtoniQ,False,2022-09-30,https://i.scdn.co/image/ab67616d0000b27329975e2e34ab192db74ee7e5,False
3,Timar,Ghahreman,236982,Amir Tataloo,False,2016-11-11,https://i.scdn.co/image/ab67616d0000b273f221282a0a17938c45fec5d6,False
4,"Carribean Hearts (Sweet,Melodic African Lofi)","African Lofi Music, Vol. 1",234710,Lofi Afrobeats,False,2022-04-05,https://i.scdn.co/image/ab67616d0000b273d6ed3cd1bf021647ee97e4e8,False
5,The City (Warm & Welcoming African Lofi),"African Lofi Music, Vol. 1",200489,Lofi Afrobeats,False,2022-04-05,https://i.scdn.co/image/ab67616d0000b273d6ed3cd1bf021647ee97e4e8,False
6,"Sunset Promise (Emotional,Romantic African Lofi)","African Lofi Music, Vol. 1",274076,Lofi Afrobeats,False,2022-04-05,https://i.scdn.co/image/ab67616d0000b273d6ed3cd1bf021647ee97e4e8,False
7,Elevation - African Lofi,Elevation (African Lofi),175058,Josh Namba Lofi Afrobeats,False,2023-12-20,https://i.scdn.co/image/ab67616d0000b273b3df57fe2632243383085995,False
8,Act of Love,Look Inside | Act of Love,373839,Amir Telem,False,2023-11-24,https://i.scdn.co/image/ab67616d0000b27370fb687252585fc1ba26be95,False
10,African Love,African Love,169180,Amir Telem,False,2023-10-13,https://i.scdn.co/image/ab67616d0000b273230a8c93c6f7716935c8230d,True
