,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,With All the Many Miracles,No Other Name,230817,Golden State Baptist College,False,2023-04-28,https://i.scdn.co/image/ab67616d0000b27382ba9f75d96aecddc9dae1e6,False
1,Golden Style,Golden Style,213578,Mime 871 Reno871,True,2010-07-16,https://i.scdn.co/image/ab67616d0000b273c7f7098f32dd96777bef2e6a,False
2,Golden State Skit,"TLP Mixtape, Vol. III",66778,ADDA onhats Memey,True,2023-11-26,https://i.scdn.co/image/ab67616d0000b273f7e77a077ab6643342f8ba02,False
3,GOLDEN states of MATTER,no rain no flowers,177708,Nowhere Blue,False,2023-10-20,https://i.scdn.co/image/ab67616d0000b2739628ee002fcfb9b7fb18fd5a,False
4,"The Golden State (Album Version, Featuring Kathleen Edwards)",The Golden State,180120,John Doe,False,2008-12-23,https://i.scdn.co/image/ab67616d0000b273e951fe6ff26f63e0de958b10,False
5,The Golden State 2018,The Golden State 2018,161662,Alfons Tham Sway,False,2017-11-03,https://i.scdn.co/image/ab67616d0000b273aaa92372f617aa5376b2ac21,False
6,Golden State,Golden State,264600,Logan Ledger,False,2023-05-18,https://i.scdn.co/image/ab67616d0000b2739209fed0785687f728a4c924,False
7,Golden State,Odyssey,108000,Chill Select Sonus Vibes,False,2021-10-29,https://i.scdn.co/image/ab67616d0000b273035064c8e377d82db4447bcf,False
8,Golden State of Mind,Shade 1,183413,Tolan Shaw,False,2017-09-29,https://i.scdn.co/image/ab67616d0000b273ea54075408c5f4c93c0d970c,False
9,Golden State of Mind,Golden State of Mind,165785,Luke Bergs,False,2022-03-04,https://i.scdn.co/image/ab67616d0000b2738e6cd5955246deb41ef202ca,False
10,Golden State Of Mind,Golden State Of Mind,165957,PW Music,False,2022-06-03,https://i.scdn.co/image/ab67616d0000b273a6f2ca63d90167a1a2db2d75,True
