,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Celestial Voyage,Mystic Muse,133333,Mr. Music,False,2023-08-24,https://i.scdn.co/image/ab67616d0000b273c0840fdb108c7701bc03c875,False
1,Cascading Echoes,Mystic Muse,115662,Mr. Music,False,2023-08-24,https://i.scdn.co/image/ab67616d0000b273c0840fdb108c7701bc03c875,False
2,Mr. Motivator,Ultra Mono,195568,IDLES,True,2020-09-25,https://i.scdn.co/image/ab67616d0000b2735433f0b107d152ca5fc6a0c6,False
3,Contemplate,Overcome,62173,Beyond Stillness,False,2022-04-24,https://i.scdn.co/image/ab67616d0000b273355e17cae94ebe133633a283,False
4,Strange Our Lives Should End,No Lights In Our Eyes,95426,Beyond Sensory Experience,False,2008-01-01,https://i.scdn.co/image/ab67616d0000b2731d313a3e8f5587ffd895a6cf,False
5,Beyond Sacrifice,Jujutsu Kaisen (Original Television Soundtrack),136294,Alisa Okehazama,False,2021-04-21,https://i.scdn.co/image/ab67616d0000b273059922565442ca1696f1c535,False
6,Beyond,Beyond,129391,Gittiye,False,2023-09-12,https://i.scdn.co/image/ab67616d0000b273f13db0ea96198de9c29e1547,False
7,Beyond DnD,Beyond DnD,90151,Wolf Heathen,False,2018-02-28,https://i.scdn.co/image/ab67616d0000b2739e85adbd78258529ec981cc4,False
8,Beyond Selves (feat. L),Beyond Selves (feat. L),333000,L Void_Chords,False,2022-07-04,https://i.scdn.co/image/ab67616d0000b273c96c2a5f92e0cc62dd91d4a8,False
9,Beyond,Beyond,218241,TonyZ,False,2018-12-06,https://i.scdn.co/image/ab67616d0000b273eb6b8662942ed8d2587d7dbf,False
10,Beyond Scenes,Beyond Scenes,183852,Mr.M Thvndex,False,2024-01-05,https://i.scdn.co/image/ab67616d0000b273884f5bb93ac6bb0e7ff0d48c,True
