,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Babylon Bis (feat. Stove God Cooks & Keisha Plum),And Then You Pray For Me,304559,Keisha Plum Stove God Cooks Westside Gunn,True,2023-10-13,https://i.scdn.co/image/ab67616d0000b273814b3b56864bb7d9ebfcdbf2,False
1,Babylon,TP,132763,SIL3A,True,2023-03-17,https://i.scdn.co/image/ab67616d0000b273d272b2b5c5f055dc34595aa4,False
2,Hypnose,"Babylon Berlin (Original Television Soundtrack, Vol. III)",85146,MEUTE,False,2023-09-29,https://i.scdn.co/image/ab67616d0000b273f619e286d0f3e63c978b2467,False
3,Babylon Berlin,Babylon Berlin (Music from the Original TV Series),60840,Johnny Klimek Tom Tykwer,False,2017-11-24,https://i.scdn.co/image/ab67616d0000b2733f2ab356d40d16414eea96e1,False
4,Babylon - Haus Labs Version,Dawn Of Chromatica,181534,BloodPop® Lady Gaga Tchami,False,2021-09-03,https://i.scdn.co/image/ab67616d0000b273335b00966a9839d4dde60256,False
5,Marathon,"Babylon Berlin (Original Television Soundtrack, Vol. III)",168026,MEUTE,False,2023-09-29,https://i.scdn.co/image/ab67616d0000b273f619e286d0f3e63c978b2467,False
6,Kahlete Laayoune,Brya,260440,Babylone,False,2013-06-27,https://i.scdn.co/image/ab67616d0000b27374e38fd821c37284f5edb0ce,False
7,Bekitini,Brya,220525,Babylone,False,2013-06-27,https://i.scdn.co/image/ab67616d0000b27374e38fd821c37284f5edb0ce,False
8,Zina,Brya,237217,Babylone,False,2013-06-27,https://i.scdn.co/image/ab67616d0000b27374e38fd821c37284f5edb0ce,False
10,Babylon,Babylon,208421,Lak Host,False,2021-08-23,https://i.scdn.co/image/ab67616d0000b273604fbebd2bb76d8c12dc86d8,True
