,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,Lord From Sorrows Deep I Call (Psalm 42),His Mercy Is More: The Hymns Of Matt Boswell And Matt Papa,267000,Matt Boswell Matt Papa,False,2019-08-16,https://i.scdn.co/image/ab67616d0000b27302b523ca29c73d537bcf98be,False
1,What a Time to Be Alive,Catch Me If You Can,199866,Matt Pless,False,2017-06-02,https://i.scdn.co/image/ab67616d0000b2736e43ff963abdc90812bc61c4,False
2,Spaceland,The State of Gold,182450,Matt Pond PA Matthew Caws,False,2021-09-24,https://i.scdn.co/image/ab67616d0000b2735855bba6a00ec1ddfc9ca6ae,False
3,Hymn in E minor,Scripture Songs & Hymns 1,175360,Matt Papa,False,2009-07-06,https://i.scdn.co/image/ab67616d0000b273acf704f38b8e1ea1df37ed59,False
4,8,Scripture Songs & Hymns 1,200133,Matt Papa,False,2009-07-06,https://i.scdn.co/image/ab67616d0000b273acf704f38b8e1ea1df37ed59,False
5,YOU KNOW,YOU KNOW,169319,Matt Patrick,False,2024-01-21,https://i.scdn.co/image/ab67616d0000b27318da015c3cb314c45c084001,False
6,Love To Get Used,The Lives Inside The Lines In Your Hand,209474,Matt Pond PA,False,2013-02-05,https://i.scdn.co/image/ab67616d0000b27382dd2ab673821a40a8eff268,False
7,Palmer ur asfalt,Palmer ur asfalt,144538,Kroniz,False,2020-07-10,https://i.scdn.co/image/ab67616d0000b273b90759972d1548f332148983,False
8,Static,Static,137154,Matt Paull,False,2023-12-11,https://i.scdn.co/image/ab67616d0000b273de7b9b881f0610435bd4d39f,False
9,RÓZOWE VERSACE,RÓZOWE VERSACE,153364,Matt Palmer,False,2023-09-06,https://i.scdn.co/image/ab67616d0000b273953fa9c064853693b74ca379,False
10,Chemistry,Chemistry,169436,Matt Palmer Ze Futur,False,2022-04-08,https://i.scdn.co/image/ab67616d0000b2739653554a80a6a880bea4c0cf,True
