,track_name,album_name,duration,artists,explicit,release_date,img_url,label
0,C'Mon Try A Little Bit,Box,145413,Mellowdrone,False,2002-01-01,https://i.scdn.co/image/ab67616d0000b27388d42cfd203076174b823257,False
1,Down for You,Down for You,150522,Mellowdy,False,2023-04-28,https://i.scdn.co/image/ab67616d0000b27347d5ba0d3de6c40d610d3e24,False
2,Venice,Venice,153958,Mellowdy,False,2023-08-04,https://i.scdn.co/image/ab67616d0000b2735d0a49f4090ad71458af8e2b,False
3,Cloud 9,The Sun Will Rise Again,140022,Mellowdy,False,2023-05-26,https://i.scdn.co/image/ab67616d0000b273eda587c13c6439327f2a780a,False
4,Maui Memories,Maui Memories,144457,Mellowdy,False,2023-06-23,https://i.scdn.co/image/ab67616d0000b273d3fb03c5fb387fdd19c57f21,False
5,In The Name Of Love,The Sun Will Rise Again,129863,Mellowdy,False,2023-05-26,https://i.scdn.co/image/ab67616d0000b273eda587c13c6439327f2a780a,False
6,Anywhere With You,Anywhere With You,143634,Mellowdy,False,2023-10-27,https://i.scdn.co/image/ab67616d0000b273b1b33e17b250fb40a598a5b2,False
7,Can't Stop,Stars Align,129856,Mellowdy,False,2023-12-01,https://i.scdn.co/image/ab67616d0000b2738b99a225315339ded11f6405,False
8,Stars Align,Stars Align,144348,Mellowdy,False,2023-12-01,https://i.scdn.co/image/ab67616d0000b2738b99a225315339ded11f6405,False
10,Running Faster,Running Faster,140263,Mellowdy,False,2023-01-13,https://i.scdn.co/image/ab67616d0000b2735076f606f571145e63d8579c,True
